typicalFacadeGlazingRatio typicalFacadeWindowWidth groundFacadeGlazingRatio groundFacadeWindowWidth buildingDepth balconyWidth atriumArea aspectRatio groundFloorHeight typicalfloorHeight numberLevels groundSDA firstSDA groundASE firstASE
0.8 4 0.9 3 38 1 2100 0.5 4.7 2.7 5 56.1 25.9 17.9 10.8
0.8 2 0.8 3 18 2 2700 1.1 3.8 2.9 7 96.6 52.7 24.3 18.0
0.8 3 0.7 2 26 2 1000 0.7 5.1 2.5 2 99.7 34.3 26.7 10.8
0.9 3 0.8 3 18 5 2400 1.3 4.1 2.7 2 99.6 41.7 23.4 13.9
0.7 2 0.8 3 17 1 1700 1.1 4.1 2.9 9 100.0 52.6 28.0 15.4
0.8 3 0.7 4 33 1 3000 0.8 3.7 2.9 6 44.7 30.7 15.0 11.3
0.8 4 0.7 4 17 4 1300 0.6 5 2.7 5 100.0 40.3 27.8 15.2
0.8 4 0.8 4 15 5 3100 1.3 3.3 3 1 97.2 96.7 22.3 25.6
0.7 3 0.7 4 34 6 2200 0.7 4.2 2.9 2 51.5 23.4 12.9 5.8
0.8 3 0.8 2 22 5 3400 1.5 5.4 2.5 1 100.0 46.4 29.1 16.3
0.7 4 0.7 4 23 5 1300 1.3 4.8 3 3 97.9 33.4 21.9 10.4
0.9 3 0.7 4 20 2 2600 0.8 3.8 2.8 4 87.0 53.2 23.6 17.8
0.9 3 0.7 3 24 2 1700 1.2 4.9 3 3 100.0 47.5 26.5 15.2
0.7 3 0.9 2 15 6 1600 1 4.8 2.9 10 100.0 46.0 29.4 12.3
0.9 4 0.9 4 26 2 2100 1.1 4.3 2.9 4 84.9 40.9 23.5 14.0
0.8 2 0.8 3 17 1 2400 1.2 4.6 2.9 5 100.0 64.3 35.7 22.8
0.9 4 0.8 3 28 6 1900 0.8 5 2.6 9 87.5 27.8 18.3 11.0
0.9 2 0.8 2 29 3 2000 1.2 4.7 2.6 10 72.0 26.7 16.5 10.0
0.7 4 0.8 4 28 1 2800 1.4 5.3 2.6 6 96.9 34.8 27.9 12.7
0.7 4 0.8 4 39 3 1800 0.9 5.4 2.7 6 63.5 21.5 17.4 6.8
0.8 2 0.8 3 19 3 3400 0.6 3.7 2.7 8 86.0 36.2 17.5 14.0
0.8 4 0.8 2 28 4 1700 0.5 5 2.9 8 85.6 28.0 19.0 10.7
0.9 4 0.7 4 23 2 1800 0.9 4.3 2.7 1 97.9 50.0 27.0 20.8
0.7 2 0.8 4 18 1 3600 0.5 4 2.8 4 99.2 NaN 33.6 NaN
0.8 3 0.8 4 20 2 2800 0.9 3.9 2.7 4 97.0 48.2 25.6 16.8
0.9 4 0.7 3 33 1 2100 0.7 5.4 2.8 6 73.9 30.6 22.1 12.0
0.8 4 0.7 2 31 1 2700 0.5 4.6 2.9 6 58.0 32.6 17.7 10.2
0.8 2 0.9 2 16 3 3600 0.6 4.1 2.7 7 100.0 45.7 30.0 17.9
0.8 4 0.9 2 27 5 3300 0.5 4.8 2.5 7 89.7 23.7 18.4 9.2
0.8 3 0.8 3 25 2 2700 1.1 4.5 2.7 7 85.1 35.1 22.0 12.0
0.9 3 0.7 4 33 3 3000 1.3 3.2 2.9 7 31.7 26.3 8.0 8.7
0.8 2 0.9 3 24 4 2000 1.2 5.4 3 5 100.0 33.2 26.2 11.9
0.9 2 0.8 3 18 3 3000 0.9 5.3 2.7 7 100.0 39.7 32.9 15.3
0.8 2 0.9 4 20 5 3600 1.2 3.5 2.9 9 78.2 34.8 17.3 12.6
0.8 4 0.8 3 38 6 1900 1.3 5.7 2.9 1 82.2 31.5 17.8 11.7
0.8 2 0.7 4 30 6 1000 0.9 5.9 2.6 8 96.3 27.7 21.0 10.5
0.9 2 0.9 3 20 2 1800 1 3.4 2.8 6 73.9 46.3 20.9 16.3
0.8 2 0.8 4 33 1 3300 1 5.5 2.9 2 98.7 35.4 24.7 12.1
0.8 3 0.8 4 35 4 1300 0.6 3.2 2.6 10 34.0 23.4 10.5 9.4
0.8 2 0.7 4 32 3 1400 1.3 5.2 3 4 72.4 31.4 19.6 10.9
0.8 2 0.9 4 30 4 1600 1.4 3.6 2.6 9 48.1 26.6 14.0 9.5
0.8 2 0.8 3 26 3 2700 1.1 5.3 3 7 98.8 35.1 24.6 10.9
0.8 4 0.9 2 19 2 3200 1.4 4.1 2.6 3 99.9 54.1 30.7 15.4
0.8 2 0.7 3 26 6 3000 1 5.2 2.8 8 94.6 28.6 19.2 10.8
0.8 2 0.9 2 33 1 1000 0.6 3.8 2.8 10 46.0 26.8 16.7 10.3
0.8 3 0.8 4 37 2 1400 0.6 4.2 2.9 4 47.3 26.6 16.8 10.0
0.8 4 0.9 3 16 4 1100 0.9 5.1 2.7 5 100.0 43.4 31.1 15.7
0.9 4 0.7 4 18 2 3400 1.3 5 2.5 5 100.0 50.7 33.4 16.7
